minutes_played,matches_per_week,training_minutes,training_intensity,sessions_per_week,fatigue_level,muscle_soreness,sleep_quality,previous_injury,injury_date,recovery_days,training_date,match_date,entry_date,injury_risk
25,0,230,2,4,1,1,2,0,,0,2025-11-17,,2025-11-18,0
43,1,151,2,2,3,2,3,0,,0,2025-08-08,2025-08-08,2025-08-09,0
65,2,385,3,5,6,3,2,1,2025-02-06,30,2025-03-14,2025-03-14,2025-03-15,1
55,0,286,1,4,4,2,2,0,,0,2025-08-06,,2025-08-07,0
90,3,502,3,7,9,3,1,1,2025-11-20,22,2025-12-14,2025-12-15,2025-12-15,2
93,2,543,3,6,10,3,1,1,2025-01-31,24,2025-03-01,2025-03-03,2025-03-02,2
62,2,342,2,4,5,3,2,0,,0,2025-12-25,2025-12-25,2025-12-26,1
67,2,405,2,5,6,2,2,0,,0,2025-12-22,2025-12-24,2025-12-23,1
77,2,371,2,5,6,3,2,0,,0,2025-12-17,2025-12-18,2025-12-18,1
78,1,346,2,4,7,2,2,1,2025-08-15,19,2025-08-26,2025-08-28,2025-08-27,1
65,2,382,2,4,6,2,2,0,,0,2025-08-23,2025-08-23,2025-08-24,1
30,0,192,1,4,4,2,2,0,,0,2025-08-30,,2025-08-31,0
68,1,338,2,5,5,3,2,0,,0,2025-06-23,2025-06-24,2025-06-24,1
65,2,380,2,5,6,3,2,1,2024-11-20,17,2025-01-06,2025-01-06,2025-01-07,1
23,1,241,2,3,3,2,2,0,,0,2025-10-05,2025-10-06,2025-10-06,0
84,3,473,3,5,10,3,1,1,2025-11-24,16,2025-12-28,2025-12-28,2025-12-29,2
85,3,596,3,7,10,3,1,1,2025-09-21,10,2025-11-02,2025-11-02,2025-11-03,2
88,3,575,3,5,8,3,1,1,2025-07-26,28,2025-09-19,2025-09-21,2025-09-20,2
84,2,537,3,7,8,3,1,1,2025-12-13,18,2026-01-15,2026-01-15,2026-01-16,2
81,2,577,3,5,10,3,1,1,2024-12-17,23,2025-01-05,2025-01-07,2025-01-06,2
64,2,419,2,5,6,3,2,0,,0,2026-01-01,2026-01-01,2026-01-02,1
62,2,346,2,5,5,3,2,0,,0,2025-12-19,2025-12-21,2025-12-20,1
87,2,530,3,6,9,3,1,1,2025-06-08,21,2025-07-01,2025-07-02,2025-07-02,2
90,2,507,3,6,9,3,1,1,2025-09-18,16,2025-10-21,2025-10-21,2025-10-22,2
71,1,391,2,5,7,2,2,0,,0,2025-12-10,2025-12-10,2025-12-11,1
76,2,364,2,4,5,2,2,0,,0,2026-01-15,2026-01-15,2026-01-16,1
64,1,305,3,5,6,2,2,1,2025-02-26,24,2025-03-09,2025-03-11,2025-03-10,1
80,3,517,3,5,10,3,1,1,2025-04-30,29,2025-05-18,2025-05-20,2025-05-19,2
88,2,500,3,6,10,3,1,1,2025-10-22,8,2025-11-20,2025-11-22,2025-11-21,2
71,2,306,3,5,6,3,2,0,,0,2025-11-20,2025-11-20,2025-11-21,1
64,2,315,3,4,6,2,2,0,,0,2026-01-03,2026-01-03,2026-01-04,1
27,0,295,2,4,1,2,2,0,,0,2025-01-14,,2025-01-15,0
59,1,297,2,3,3,1,2,0,,0,2025-06-01,2025-06-03,2025-06-02,0
95,2,567,3,6,10,3,1,1,2025-03-03,13,2025-04-23,2025-04-24,2025-04-24,2
40,1,188,2,3,2,2,3,0,,0,2025-01-03,2025-01-03,2025-01-04,0
36,1,247,2,3,4,1,2,0,,0,2025-02-05,2025-02-05,2025-02-06,0
71,2,395,3,4,7,2,2,1,2024-12-07,29,2025-01-11,2025-01-11,2025-01-12,1
20,1,288,2,2,3,2,3,0,,0,2025-08-08,2025-08-09,2025-08-09,0
86,2,499,3,6,9,3,1,1,2025-04-07,10,2025-05-10,2025-05-11,2025-05-11,2
83,3,473,3,7,8,3,1,1,2024-11-28,14,2025-01-15,2025-01-15,2025-01-16,2
86,3,573,3,5,8,3,1,1,2025-08-02,12,2025-08-21,2025-08-21,2025-08-22,2
91,2,468,3,5,8,3,1,1,2025-08-30,25,2025-09-23,2025-09-24,2025-09-24,2
93,3,459,3,6,9,3,1,1,2025-04-18,16,2025-05-08,2025-05-10,2025-05-09,2
85,2,561,3,7,8,3,1,1,2025-04-29,14,2025-05-28,2025-05-28,2025-05-29,2
61,2,384,3,5,7,3,2,0,,0,2025-09-19,2025-09-20,2025-09-20,1
93,3,563,3,5,8,3,1,1,2025-04-06,14,2025-05-04,2025-05-05,2025-05-05,2
21,0,295,1,4,3,1,2,0,,0,2025-09-16,,2025-09-17,0
57,0,276,1,2,1,1,3,0,,0,2025-07-10,,2025-07-11,0
80,2,361,2,5,6,3,2,1,2025-09-12,11,2025-09-30,2025-09-30,2025-10-01,1
62,1,344,2,5,7,2,2,1,2025-10-16,20,2025-12-15,2025-12-15,2025-12-16,1
76,2,332,3,5,5,2,2,1,2024-11-25,8,2025-01-10,2025-01-12,2025-01-11,1
86,3,567,3,7,10,3,1,1,2025-11-21,20,2025-12-22,2025-12-22,2025-12-23,2
38,0,268,1,2,2,1,3,0,,0,2026-01-24,,2026-01-25,0
76,1,378,2,4,5,3,2,0,,0,2025-07-02,2025-07-02,2025-07-03,1
